Cigars and Tobacco Accessories	50815
Basketball	17289,6433,27214,66589,58699
Computer Speakers	47771,76439,54117,11359,59089
Hubs and Switches	32291,2585
Food and Drink	59755
Indoor Grills and Sandwich Makers	13414,36707
Tableware	63753,25641,60669,33383,15696,40023,34443,52806
Turntables	20399,18235,68588,27117,45131,44508,51387,48710,47260,49658,42670,42164,40946,6354,13884,70990
Bakeware	70948,16967,51193,749
Fishing Advice	76382,47585,11652,49369,14357,9397,75772
Stadiums and Arenas	47398,42717,33325
Volleyball	14132,35170,41637,49820,4351,20528,33271
GPS Car Navigation Systems	18293,4177,36066
PDA Accessories	75964,58886,73005,66853
Shop Tool Accessories	59132
Tape Decks	21851
Online Stores & Services	62592,60732,52693,39851,53157
MP3 and Digital Media Players	9323,8911
Test Prep Courses	391,8704,5619,22938,36750,9813,35355,68047,41377,68892,10228,60562,2535,69597,58497,8513,26541,11918,12886,27144,52981,6689,23448,20569,32055,20657,1629,34854,38309,18837,46425,26484,6405,22920,35956,54644,6591,35252,7492,12747,21773,19589,40918,68965,15978,2526,54643,32004,51895,9451,11915,32445,41488,68077,29692,61621,68255,5407,71017,67718,52879,29748,45220,30685,63670,47844,70084,46963,65364,46489,70379,47969,60105,62512,23365,37853,23304,52581,49396,64569,14802,34493,45837,47165,7672,40938,21656,50100,7433,76747,62798,31697,60274,52551,41613,20389,65295,46762,609,60932,66675,34523,52733,792,74480,63442,49140,22246,40889,68214,46708,3959,7962,23980,65102,68144,63896,21467,30334,75148,59257,42562,44417,48266,30991,12028,62821,33997,52974,15944,45861,77123,28885,3874,68428,54980,75444,1555,36279,28968,63420,21748,16299,51129,51725,73416,47311,15365,35014,44449,19870,54446,37929,13336,54313,73768,15507,6231,48380,50332,75893,40109,40734,18711,55483,3957,52420,3979,60011,52648,9872,71053,69370,50825,45192,43212,1874,73175,33332,28850,7233,9986,29089,62311,31966,57278,3183,71449,51460,21590,6285,53898,69328,70239,53292,22458,5472,75428,24249,63998,23421,46579,6042,55935
Travel Accessories & Handbags	9761
Clothing Accessories	36742,24052
Classic Console Games	6224,41910,35258,48801,13839,65694,29033,69121,15520,76953,50220,54974,763,36724,4293,58200,66093,45905,17868,32581,63468,61841,46907,71559,29315,36387,2397,66659,11239,55636,55584,39298,53710,63111,10736,74082,32297,28090,49150,66651,33012,71116,5965,38135,44652,59926,24367,35693,23590,40917,58196,55389,49580,1184,3444,7160,71742,28683,34280,38459,53645,54956,9826,69109,28576,13604,75835,63171,43448,21219,46001,72398,52451,1476,58799,64262,38978,30183,20349,49794,25808,59407,56764,28334,10421,22772,12954,23960,36606,68973,63875,67966,50347,31744,68660,36499,73422,30020,35307,45983,64905,29149,3064,37566,27124,22635,43584,45125,7271,63935,77280,76477,64649,71015,14950,8267,19558,68140,51238,28053,44478,66831,30432,7269,3252,33533,17914,43385,65315,10537,37921,57390,7305,37547,63481,13074,5924,45339,51612,50841,41317
Toaster Ovens	48433
Fryers	8908,70971,57420,30190
DVD Players	12797
Nintendo Wii Games	14697,64878,37650,35106,75640,25477,21029,27659,33976,27438,183,14513,22784,48367,70861,2976,6091,32993,33043,19854,63954,35340,47357,25341,68601,15794,11689,74113,6406,75425,11962,48819,25693,38066,12603,24733,65729,37403,67062,53360,61228,9645,63669,71782,71232,5642,67901,67152,71315,40342,25474,14879,17715,25035,61048,53264,30050,1350,75473,53939,77115,16328,28176,71586,6731,25497,70621,36440,25647,52915,42345,43915,76255,1284,30234,28614,74254,71262,33950,22664,29693,70137,34401,3860,12831,15683,44387,4434,30246,74145,66254,41008,58358,74279,32852,72295,4953,20708,8568,66308,31350,8006,56736,11912,45170,64038,65194,50160,41174,25248,45259,32644,11190,32966,24667,18052,48892,33880,45687,33087,65751,25498,48028,33433,32028,15892,67129,13335,23723,71843,63291,66946,60326,56122,16228,7054,47449,25176,68397,41749,52096,45582,40184,2237,14920,66404,59446,6560,28188,5775,56504,44865,54181,31550,37937,25920,12655,76054,75333,7577,3888,68529,6275,22965,48551,9152,16550,63951,73251,35581,46860,75700,43225,71026,45812,76853,6061,12249,59005,8725,30872,34854,52437,26537,68740,45869,65639,47069,72650,56089,26780,55841,29453,76218,71420,73560,9281,34442,44275,16063,66491,62245,22042,68053,10662,61625,54655,69462,66426,25365,73964,77191,73680,6055,5191,62906,16019,31300,72687,54504,27090,38484,20874,18545,4811,31631,5227,66440,64001,19560,5579,11165,14269,46731,71935,18323,44475,55233,3790,53667,60277,13961,19342,29083,5601,5527,8500,70296,37192,9591,13214,29356,36674,12505,15528,59174,12304,73918,72509,53418,38350,49736,62114,52729,26344,54,29252,16283,5610,64788,22999,13523,9736,68588,26016,28265,60595,47464,25275,1540,1774,26582,22713,70407,58345,72832,59826,3712,54203,30270,42678,41738,36587,36558,13079,5179,4386,65718,33194,22687,28788,47918,37629,1444,25182,30422,29610,38775,13132,61687,17307,27129,2139,52133,2013,22768,58623,8937,72394,64130,23907,56097,25013,68682,49545,56954,62537,40894,35801,52356,21444,45628,44049,41604,62348,32692,8213,7172,54248,61342,24815,26381,8770,880,38573,36966,49858,45079,60010,46409,16256,24845,28090,49943,21267,57851,72997,25911,28817,401,38730,3296,57855,35416,11303,31278,13603,36409,5608,34114,13020,47637,70133,49941,37274,30245,30434,51779,996,21057,65835,9045,378,5965,35793,64660,5949,72465,71831,7821,61697,42060,13930,31279,15109,73632,9049,38242,21783,11197,56811,25127,6359,5538,73467,58493,10180,21458,32932,40574,27824,7427,69572,49790,74962,42965,70328,73090,27220,34606,68468,26872,13282,15274,20097,4647,24144,23832,25004,61780,27566,46562,9540,37110,44391,66686,5222,22863,58383,41921,36622,68250,3366,14895,6034,67424,57962,64684,53646,13488,47815,14767,44611,27811,40994,4136,5213,21667,28051,7084,67724,66138,21064,11323,71736,7096,50124,37077,72912,42589,71225,74369,29869,51119,74693,37537,18246,411,6746,35194,12464,23934,3239,49541,23797,14905,46495,23150,34056,71037,25700,67356,4748,17916,64165,18941,14929,44932,17227,9342,54614,18690,70590,20183,56919,45630,12671,13530,13601,74528,7007,35390,4258,26123,67055,13027,63518,46493,26939,57506,48362,2801,75353,71801,54828,34738,34418,42874,57214,76284,45971,33430,50764,33477,12140,61362,47005,22097,5002,35170,25575,4972,30753,66287,75973,52404,62405,64179,40489,45883,69870,19369,75785,6801,62711,8953,77272,75992,39110,63281,66927,60541,48949,15575,36255,13726,29977,68995,39744,9846,28940,26792,43834,76388,15373,31636,65530,3497,36818,66027,29432,31649,58266,28825,48020,64346,28034,45194,72468,30258,66058,675,21216,11653,76683,71712,54049,75281,33831,26761,30776,17584,75572,19602,10427,67467,37328,59822,29127,9982,76576,22793,4395,39241,43102,66312,65601,24925,73003,21760,65846,74765,75590,35893,6871,72373,32876,28452,6187,62328,68128,56828,70015,16856,7082,4297,21554,75858,35975,67497,14009,70773,41944,71871,8477,35051,19110,43860,60949,23390,33576,42205,1054,30575,62201,71584,30354,72695,32228,56802,1070,39021,74467,42919,68932,62402,18078,11396,14340,7614,62787,72397,24886,22646,32113,54857,56618,7181,7523,43569,17635,5486,74104,24381,33008,66098,35680,7850,18704,69101,51479,37821,11489,31700,62490,30856,53813,71770,67651,74633,2636,28686,14709,19818,49843,65115,54613,56376,39716,32156,43042,30783,4497,65713,50115,8154,28081,18955,60619,2567,62443,61762,22874,9871,68447,19399,3072,8254,74243,31826,9285,50359,57810,73601,34612,57474,924,64451,53693,44292,60278,40050,27852,28700,40180,61264,4241,23788,49719,38767,35464,67494,31044,37450,73336,45327,23011,62427,39325,30741,1248,59355,64723,31507,37097,39027,49500,68384,25633,62047,58407,36271,19352,28400,6524,50040,38032,68751,76105,2924,8448,63108,30931,51264,48669,13383,69754,37254,10379,73948,31028,31792,7652,57057,37402,23528,40739,7625,2730,61120,58612,61878,9734,69702,68830,26663,17368,51397,13349,15578,68979,30352,2622,46539,12563,27358,56352,26543,72734,27770,20783,6810,2992,64848,30164,27891,57086,69123,11523,53577,40224,65892,24680,18957,74386,2876,10377,4455,44922,21717,43655,43987,65874,76511,29294,27892,46087,66534,31094,36694,58928,20650,32657,45565,31270,15587,47991,37702,63827,793,50883,45066,46629,59171,35412,61289,6624,56502,67624,2878,33529,17529,10322,74427,7055,67562,51258,75320,11618,26977,70235,73501,31850,54456,57133,37226,31962,18015,2937,60360,14564,38711,56777,58923,11634,6450,15279,53414,21551,55777,57791,60822,36002,29217,68531,74019,53069,25060,2511,37075,11388,43861,73813,22377,62556,62510,51481,17605,68794,59503,70886,46021,580,40870,75908,24136,57924,53116,72331,27057,39187,56556,73269,14164,71913,27152,54480,3425,62117,14096,39546,45982,75201,53621,11845,34129,17389,8003,65654,75707,19349,69347,47455,18400,64276,41149,36791,422,16360,40278,35294,61540,50779,4951,25235,50885,23249,24704,47699,46801,20416,19398,35114,15507,47273,33261,14549,25228,7519,16892,53576,75911,29995,7422,31526,45040,31597,16712,53097,49206,72708,17045,1327,77294,30255,51966,6411,59819,11409,39406,39482,29206,48317,1221,9380,17846,72281,71424,23702,75583,18458,13899,71671,49045,64978,37359,56639,42326,61272,44642,51242,64037,8815,64941,29140,8083,31748,24490,13933,375,25915,24454,1875,14116,22267,1838,41349,7265,30207,63076,3701,56171,67123,9699,45989,31927,15167,49274,70981,53763,51084,20185,26911,65410,18642,25189,57170,60914,18147,72753,42551,26534,55466,33749,16067,60952,49664,75852,50348,75655,67131,72567,22710,45056,32275,13206,58049,9515,32540,37941,29510,15568,49327,30784,43752,61569,42710,346,49359,39109,9710,30946,1326,64986,63914,12887,9207,44130,11250,42921,68884,63445,59008,22844,16884,35092,32874,51883,47172,53942,2170,63331,6571,29653,48176,74282,12153,14145,57952,19868,44702,26508,2345,2532,32560,5132,54988,18914,73776,25447,12335,11531,28329,29957,5497,29165,46682,74308,15263,13385,66760,59001,43793,27552,2895,4088,17158,21766,53171,5554,17350,71223,66923,48432,37341,9381,4510,5473,40746,18563,48731,53468,29764,41796,4944,15157,5164,26926,18476,57568,65863,9986,13277,65547,31327,12973,77220,31207,36108,51688,50562,62721,51005,33156,76150,69609,6023,68498,34870,28800,54103,66524,52328,39439,44261,72789,52610,30918,21629,68681,19690,6706,69673,57110,49462,54905,7638,1783,15650,34913,2700,53059,23994,6100,72747,74152,17944,13413,4251,69818,73519,71078,55908,21230,67649,19687,49185,54261,22096,25311,70780,57657,31072,28209,43477,76951,24789,52185,19771,25491,36,77343,21240,3317,26455,37637,3350,75196,58536,69215,49547,28726,10155,35459,39730,21829,39313,67669,21955,1146,59302,6054,45037,12004,10278,60338,19101,4004,69334,40448,51274,29175,48078,46680,25969,4165,64240,31514,25486,20801,51717,43011,56672,23472,31387,27834,50726,42483,51030,69663,18887,74604,59382,72168,56489,17049,47246,19004,50907,31205,36076,50619,57035,56891,6900,39315,46530,14963,11175,1225,16861,12641,51804,69985,44025,47178,31712,57211,65415,12624,15028,69731,12340,33271,31831,22076,42553,17602,5254,63000,47693,54793,53136,25071,33084,43732,5673,71778,37592,41825,9154,34137,41855,31520,54356,22540,34089,36829,42020,29417,47894,25109,14169,13822,45382,22061,47210,1893,70029,56249,13185
Toys	4381
Coffee and Tea Makers	34979,28704
Banks	64088
Cars	33026,17803,55719,63754,56803,10374,60316,55123,29031,55616
Insurance	16708
Ski Resorts	30032,38325,66523,34076,15754,52669,35590,463,15253,26821,49706,35267,76101,73742,75892,54358,45674,52849,30406,35811,3210,59490,28433,49948,49010,75930,44821,50965,15865,24927,39508,1399,15668,5398,41450,25674,24112,71873,75951,66472,61405,25733,60915,60940,5566,63015,47009,11392,14730,66301,22455,62927,17886,61280,58510,36297,2683,63673,69794,13877,36024,10911,10094,55009,48840,2901,1754,249,20665,72044,42969,38167,28982,71117,74806,59055,68876,49822,27033,7183,62561,64390,22450,28727,3049,64447,54201,68439,50286,45486,14307,6661,76511,15890,32948,19852,29744,15477,32826,43211,76930,9228,22276,59294,38487,65157,76945,8819,70148,18240,32873,18454,74927,70766,76165,44559,34002,72653,28732,28156,1569,28045,17388,14602,71011,30843,6086,66576,9555,1526,24973
Cleaning Appliances	61573,70381,3449,23767,20911,45784,53971,695,627,27045,69321,590,66330,76402,37240,11284,34760,4261,22089,34556,3402,23794,67970,7815,9671,24966,57847,65825,46426,2673,49624,1635,16649,40661,42241,61660,15200,13291,58280,8301,34771,5576,68928,11092,9981,47019,64759,76893,50648,64697,7584,14752,53935,73818,67644,1563,30536,71468,50637,59995,76914,4876,481,13415,33970,34274,44023,24685,13086,25276,37693,65309,65983,14524,14276,305,12550,66143,77332,15685,67686,13700,35424,9664,34236,36686,4788,56283,8897,47639,76777,49965,6704,15417,14679,10982,49053,60548,71286,66816,52078,29828,18225,23657,63404,45433,14631,32529,73420,18744,24372,63490,57573,17423,56681,632,15389,28727,11937,41650,26084,23932,37671,20051,69211,15353,9478,34461,29534,47118,70461,61923,27385,22348,64866,72282,39886,28126,57924,42967,63825,10325,8383,39309,33018,47530,33132,14551,24686,47679,66095,36769,24892,43785,73455,70587,17486,15013,8664,2877,27942,61389,34820,60304,41850,29884,76735,62578,42359,26781,76273,22355,25873,30173,67234,68367,27650,46767,12985,2578,55892,49065,2378,49895,76062,22385,59623,31974,33509,18406,76899,2919,53027,40681,35688,29621,71030,36395,75475,21869,76431,53948,31514,29683,75905,71123,24201,76168,51804,46291,66842,69763,7857,70313,29830,55935
Kitchen Hoods	38445,1673,319,56449,43219,45443
Ovens	22942,52932,40340,70931
Storage & Sheds	35974
MP3 Accessories	39952,54366,58927,30394,63199,31533,67647
Shop Tools	2573,38339,6876,23972,12334,37486,35681,48513,26502,255,45067,66941,33877,34147,19458,23613,41355,68969,36733,52750,24826,65497,72393,56695,1759,13403,25230,37477,67386,65641,30851,63372,43554,43309,32345,62504,23051,32065,43350,49338,52540,7723,37845,67465,36944,34808,70746,74108,37643,16306,74223,65660,76659,75644,13802,61082,3870,4583,50676,40640,9982,58106,14577,20422,58324,2735,54442,25923,31185,54355,37862,76793,55609,57199,42479,54855,69039,62856,76076,63418,53120,74350,35783,30882,73220,45303,73716,31183,55242,44351,48833,45882,67357,34709,9373,55488,739,55318,57478,66490,44597,68056,63554,52593,74591,63157,14398,2607,47788,50731,63076,18295,26651,54235,3665,73133,39557,44992,55413,56685,25606,73114,28045,35544,73293,52880,20509,52280,53423,70125,36711,44926,44579,35218,57697
Computer Games	16105
Car Video Players	64878,52715,5963,28570,17518,23814,28123,22403,26245,69859,40948,52105,3204,15621,49704,9917,44302,26921,18278,14544,61584,26544,22584,74032,14845,51011,70010,71853,57752,28953,15149,3383,76379,8728,77039,30975,8394,6838,65712,54872,22674,71280,15281,39446,32349,29368,40876,64290,22462,44609,23118,76515,76158,35446,15032,10951,58416,19001,32263,57250,30137,16352,26201,57721,72863,9377,16654,31214,7510,43058,70545,41457,16076,62806,73433,11562,59495,61642,56240,62959,71453,10239,65311,65200,805,73141,55811,30043,31811,76314,61883,70135,55920,59662,53288,33662,47074,47651,61638,31911,30574,2921,57248,57075,23880,45006,74165,69850,47051,52390,8779,50450,6119,52150,68900,26510,60359,69302,5834,44944,62569,11357,40093,54982,51817,16688,40810,48674,65612,61961,64923,23383,10439,42706,8266,21178,25892,23959,70685,7222,46585,34340,16426,16631,72042,9730,52335,69400,50069,56115,49706,73703,70217,24762,31277,53946,37301,38601,65795,73154,58722,4686,76471,3208,34466,51391,58498,72980,9886,22416,70942,38552,40395,15657,1343,60164,63124,36122,43251,43789,21859,76640,57276,27614,8983,16690,1537,37808,2795,7378,75681,27363,28059,51428,66793,65393,7154,73830,71797,64235,64531,40801,64704,18425,60861,17403,47477,21799,33268,5324,7122,43106,56480,1709,51967,2958,4800,31034,53671,53672,2696,5296,34201,63384,19211,64874,13774,43612,24431,6903,26473,13283,39352,26253,51294,36802,46521,53335,26433,43925,42892,66213,59910,37934,55479,25914,68246,42267,51795,30773,8800,58524,23469,68058,40864,23208,31702,59682,64227,28813,34565,13717,16205,33108,18648,25784,8992,39582,15865,35628,48968,27914,47508,24780,68524,55715,24353,5854,21476,71116,43479,60509,72777,42139,9731,7569,16436,69893,7350,55315,62857,59139,2726,2509,27752,28395,46582,60756,12578,27707,4647,59933,40314,42798,15209,29657,68407,23225,40756,64684,43938,76885,18102,39250,31830,5213,17157,8628,71495,52992,34393,39227,61688,10358,37806,76739,39144,51119,25220,59499,11142,16996,2818,74464,57215,75310,32288,29027,37362,53994,44766,42695,25428,73019,29148,20558,22765,75464,15743,39980,29558,25159,30126,15529,13480,33539,35883,75216,35357,3338,74853,18394,38104,32664,2660,51569,55030,32122,32542,7790,58956,54796,46493,7287,5321,6827,23689,53329,12901,49654,60665,58782,72682,49201,75802,16883,27934,10152,38184,50454,42494,29088,69284,62159,53866,34866,59162,53253,22529,9052,32353,21106,58016,62295,4563,35133,49651,62736,62932,29319,22587,11031,24130,11914,73100,49496,59756,76328,18730,36004,58039,40621,30618,6947,38363,28576,73108,38818,33777,44812,42631,26641,61606,29617,45509,18468,43484,14912,12232,6390,64814,33990,75382,20866,53706,34058,61846,16816,66275,60746,77060,15863,13319,48294,59651,108,15617,67175,66755,43616,72868,52569,473,11441,55430,7280,4739,14540,57206,53767,50322,6523,54993,62546,40036,66098,48236,61543,35680,35216,33356,65569,53302,51237,29324,13695,71273,41115,32911,58229,6510,13624,53813,67345,31411,8729,1818,51272,1624,25952,17196,11235,21351,59469,31068,34756,57345,23283,8706,26340,58947,2960,58452,74949,30578,1962,68003,62003,24903,53787,7627,11992,5682,7088,58701,33253,73145,56531,6622,11295,19080,20482,2731,13083,14098,6804,68654,1464,21046,66238,10888,64095,69319,32042,33473,20677,59791,22081,16548,73079,44536,7814,46988,21940,28334,63315,64655,17051,57692,57485,66112,65731,74928,49270,63061,58564,26200,61074,74933,62960,32929,1895,34024,5843,72734,45020,72911,6810,76578,39257,76345,16831,53623,2123,14576,19919,71947,15676,50444,22523,23653,29294,33565,59829,36694,32659,12451,46561,1281,45045,19629,19346,1645,41893,43668,53960,55414,31559,55522,13489,42482,10466,28761,9373,22681,75490,21802,13474,64027,31850,63389,18300,72177,61004,2572,18498,57294,54459,886,52344,59592,35388,24710,32202,29269,22612,8709,63704,36119,32272,40009,72749,21671,46192,2929,75980,24163,1166,737,67561,21016,15387,75896,17265,57576,73663,4082,72671,11393,38190,43956,54446,17780,7955,32758,33425,26069,65263,72851,8929,58369,53147,58387,15507,60836,41375,10199,66044,8642,44665,11591,70138,7530,56364,938,51961,71631,76568,26930,8836,49740,53419,44731,21691,17846,46497,8799,65546,18719,56154,19138,13899,14502,63944,40909,25880,21051,59711,15146,5489,33231,15556,38880,68122,13310,37912,39688,73482,39573,62828,14332,45989,22486,43788,24321,65659,10411,47046,22166,24808,68952,67486,56843,33670,43800,26534,35552,46300,64525,8182,39614,2242,14698,19112,46633,53724,43591,56003,59937,50805,46899,52132,30526,24455,46759,39887,23454,25355,31650,71397,10189,26311,51054,22804,30542,12847,47386,44965,1263,71967,7651,48468,35386,12709,29472,37066,37370,61428,10897,59516,17332,52564,58766,36243,49866,38549,7393,29655,51999,50968,6648,66026,55033,47038,68035,30094,67864,68334,29708,12291,34210,1881,41228,59224,19683,2686,50481,2317,68221,29902,73147,41600,32235,62269,31113,58175,22139,68102,3269,69673,18406,17024,61983,33904,12632,41071,19405,8656,22326,8788,62997,53517,33993,7859,24578,45697,73920,543,57657,25157,44628,13230,35873,14039,29387,40632,47257,61412,39727,68877,49565,29683,8140,42464,806,8945,15088,10160,28797,64550,23333,74694,65397,17702,72501,15763,42968,42176,51388,75187,4976,7884,41136,31802,16069,69985,33006,68602,11966,76438,6858,30205,38727,2166,56474,49086,44465,48303,68154,35895,70563,75173,45339,15630,41890,8299,57717,35304,43485,53489,57888,3070,43855,35208,31267,26430,58961,75910,11167,128,65864,69506
Thermometers	12675,17018,10296,18004,77231,66113,63002,69965,42866,25625,33310,18762,64748,31568,65225,33796,8924,65771,37179,63672,4607,34604,17725
Canoes & Kayaks	47807
